프로젝트 넘버,프로젝트명,진행 상황,알터즈 역할,장르,지역,공연 단체,공연일자,공연장,수행업무,핵심성과,시놉시스
1,쥐덫,완료,공연 홍보 대행,연극,포항,어메이징 스토리,2023.09.20 - 2023.09.23,한동대학교 학관 104호,"카드뉴스 제작, 연습 스틸컷 촬영",,
2,"2023 씨어터페스티벌 ""실패주의"" - 제가 사랑한다 말했던가요",완료,공연 홍보 대행,무용,대구,무궁무진무용단,2023.10.04 - 2023.10.06,대구 우전소극장,카드뉴스 제작,,
3,"2023 씨어터페스티벌 ""실패주의"" - 예술의, 예술에 의한, 예술을 위한",완료,공연 홍보 대행,,대구,다원예술그룹oneness,2023.10.07. - 2023.10.08,대구 우전소극장,카드뉴스 제작,,
4,"2023 씨어터페스티벌 ""실패주의"" - 백치들",완료,공연 홍보 대행,연극,대구,백치들,2023.10.15 - 2023.10.17,대구 우전소극장,카드뉴스 제작,,
5,"2023 씨어터페스티벌 ""실패주의"" - <신>과<대심문관>그리고<?혁명가>",완료,공연 홍보 대행,연극,대구,솥귀,2023.10.21 - 2023.10.23,대구 우전소극장,카드뉴스 제작,,
6,"2023 씨어터페스티벌 ""실패주의"" - 3.3kg",완료,공연 홍보 대행,연극,대구,열혈단,2023.10.27 - 2023.10.29,대구 우전소극장,카드뉴스 제작,,
7,"2023 씨어터페스티벌 ""실패주의""",완료,,,,,,,,,
8,2023 대한민국 소극장 열전,완료,,,,,,,,,
9,2023 대한민국 소극장 열전 - 아빠들의 소꿉놀이,완료,공연 홍보 대행,연극,구미,극단날다,2023.10.17,구미 소극장 공터다,카드뉴스 제작,,
10,2023 대한민국 소극장 열전 - 요리조리 토리씨,완료,공연 홍보 대행,연극,구미,아주작은연극놀이터,2023.10.18,구미 소극장 공터다,카드뉴스 제작,,
11,2023 대한민국 소극장 열전 - 3.3kg,완료,공연 홍보 대행,연극,구미,열혈단,2023.10.19,구미 소극장 공터다,카드뉴스 제작,,
12,2023 대한민국 소극장 열전 - 노인과 바다,완료,공연 홍보 대행,연극,구미,푸른연극마을,2023.10.20,구미 소극장 공터다,카드뉴스 제작,,
,"2023 다운,이 창작단막극 페스티벌",완료,,,,,,,,,
,"2023 다운,이 창작단막극 페스티벌 - 트로피컬 센츄리얼",완료,공연 홍보 대행,연극,서울,"창작집단 다운,이",2023.10.27 - 2023.10.28,대학로 창조소극장,카드뉴스 제작,,
,"2023 다운,이 창작단막극 페스티벌 - 초록색 문, 초록색 병, 초록색 캔",완료,공연 홍보 대행,연극,서울,"창작집단 다운,이",2023.10.27 - 2023.10.28,대학로 창조소극장,카드뉴스 제작,,
,"2023 다운,이 창작단막극 페스티벌 - 비상구 문지기",완료,공연 홍보 대행,연극,서울,"창작집단 다운,이",2023.10.28 - 2023.10.29,대학로 창조소극장,카드뉴스 제작,,
